char* first_name,char* last_name,int overall_rating,int age,int jersey_number,int team_id,int pos_id,int speed,int strength,int toughness,int carrying,int catching,int throwAccuracy,int jukeMove,int kickAccuracy,int kickReturn,int block,int coverage,int tackle
Joe,Thuney,93,32,62,1,8,73,88,94,33,26,6,14,11,10,81,12,29
Jaylon,Johnson,89,26,1,1,2,90,67,95,60,74,6,74,14,40,27,93,53
DJ,Moore,86,28,2,1,20,91,66,92,73,91,27,94,13,80,38,21,30
Jaquan,Brisker,83,26,9,1,5,89,68,89,60,71,6,74,17,68,29,72,80
Cole,Kmet,82,26,85,1,19,85,76,90,73,97,17,61,15,15,60,30,48
Grady,Jarrett,82,32,50,1,3,72,90,82,40,30,6,10,25,10,41,27,86
Kyler,Gordon,82,25,6,1,2,88,66,79,58,71,16,75,20,50,29,80,63
D'Andre,Swift,81,26,4,1,4,90,68,85,86,71,23,88,12,63,33,15,31
Kevin,Byard III,81,32,31,1,5,88,73,90,78,82,31,72,19,55,16,72,80
Montez,Sweat,81,28,98,1,7,88,80,88,56,57,6,50,16,10,31,39,88
T.J.,Edwards,81,29,53,1,17,85,72,85,65,72,36,30,20,10,31,71,89
Darnell,Wright,80,24,58,1,18,72,94,90,35,38,5,23,14,10,84,13,48
Tremaine,Edmunds,80,27,49,1,12,86,75,88,48,74,6,49,14,10,31,69,86
Drew,Dalman,79,26,52,1,1,70,87,82,34,25,6,10,14,10,89,10,32
Gervon,Dexter Sr,79,23,99,1,3,76,85,83,45,52,6,24,9,10,43,11,87
Rome,Odunze,79,23,15,1,20,91,65,86,73,85,14,83,17,79,37,14,30
Braxton,Jones,78,26,70,1,11,73,88,75,35,26,6,10,26,10,76,11,40
Cairo,Santos,78,33,8,1,6,72,33,60,35,25,21,10,85,10,17,17,22
Jonah,Jackson,77,28,73,1,16,68,86,88,31,29,6,10,12,10,82,13,37
Jonathan,Owens,76,30,36,1,5,91,66,84,67,72,6,70,22,30,15,68,70
Luther,Burden III,76,21,87,1,20,92,69,87,76,83,11,84,30,82,41,36,35
Caleb,Williams,75,23,18,1,14,86,65,91,59,41,81,73,23,28,16,16,23
Devin,Duvernay,75,27,12,1,20,93,68,89,77,87,30,81,12,83,43,18,35
Tory,Taylor,75,28,19,1,13,81,61,84,51,45,25,25,77,10,21,12,39
Tyrique,Stevenson,75,25,29,1,2,91,60,88,58,72,6,67,22,56,27,76,63
Andrew,Billings,73,30,97,1,3,70,89,78,28,26,6,23,19,9,37,22,83
Colston,Loveland,73,21,84,1,19,86,78,93,72,80,17,63,31,25,60,36,38
Dayo,Odeyingbo,73,25,55,1,15,80,84,87,44,45,6,36,15,10,31,29,81
Olamide,Zaccheaus,73,28,14,1,20,90,54,84,72,87,13,82,15,72,40,19,35
Roschon,Johnson,72,24,23,1,4,86,78,85,93,66,38,77,24,72,33,13,33
Shemar,Turner,72,22,95,1,3,80,88,93,41,29,11,30,19,27,35,18,76
Kyle,Monangai,71,23,25,1,4,86,77,94,96,68,19,79,22,72,43,23,36
Miles,Boykin,71,28,80,1,20,90,68,77,73,83,24,78,11,42,44,18,28
Ozzy,Trapilo,71,23,75,1,11,65,87,83,34,24,6,15,27,10,79,15,21
Ryan,Bates,71,28,71,1,16,67,86,87,26,20,6,15,12,11,76,12,31
Tanoh,Kpassagnon,71,31,69,1,15,80,82,80,44,47,6,43,29,15,32,46,79
Tyler,Scott,71,23,10,1,20,92,53,85,73,80,10,76,15,71,30,36,40
Durham,Smythe,70,30,81,1,19,81,75,86,75,86,10,68,14,10,60,12,28
Nick,McCloud,70,27,24,1,2,90,58,79,52,67,6,70,15,50,29,68,62
Shaun,Wade,70,26,26,1,2,90,60,74,58,67,6,69,12,40,27,69,64
Zah,Frazier,70,24,20,1,2,94,56,84,61,74,17,70,25,79,30,67,69
Austin,Booker,69,22,94,1,7,79,76,83,34,34,6,46,22,10,31,42,75
Dominique,Robinson,69,27,90,1,7,80,79,80,61,65,49,52,12,10,37,39,78
Ricky,Stromberg,69,24,67,1,16,64,83,90,26,21,6,10,13,10,80,13,46
Terell,Smith,69,26,32,1,2,92,63,85,56,65,6,70,11,66,30,67,64
Travis,Homer,69,27,21,1,4,91,62,82,84,69,16,80,14,73,36,18,35
Tre,Flowers,69,30,37,1,2,90,66,87,60,67,6,65,10,35,27,69,66
Daniel,Hardy,68,26,92,1,15,83,71,78,38,33,6,37,15,10,32,31,81
Elijah,Hicks,68,25,22,1,5,88,58,85,60,69,6,72,24,35,28,67,69
Kiran,Amegadjie,68,23,72,1,18,70,88,79,32,37,22,15,25,10,78,15,33
Zacch,Pickens,68,25,96,1,3,76,81,89,58,45,6,43,14,10,37,23,78
Jamree,Kromah,67,25,59,1,15,79,82,83,42,38,9,32,18,10,37,24,78
Ruben,Hyppolite II,67,23,47,1,12,88,68,87,60,61,6,54,19,10,36,61,79
